"date","category","value"
"2014","Kent Thiry",515981
"2014","Javier Rodriguez",150660
"2014","Dennis Kogod",104230
"2014","Michael Staffieri",29549
"2014","Thomas Usilton",0
"2014","Joseph Mello",0
"2014","Total",800420
"2013","Kent Thiry",677113
"2013","Javier Rodriguez",12701
"2013","Dennis Kogod",89405
"2013","Michael Staffieri",0
"2013","Thomas Usilton",0
"2013","Joseph Mello",0
"2013","Total",779219
"2012","Kent Thiry",497379
"2012","Javier Rodriguez",110077
"2012","Dennis Kogod",45221
"2012","Michael Staffieri",0
"2012","Thomas Usilton",56023
"2012","Joseph Mello",0
"2012","Total",708700
"2011","Kent Thiry",477410
"2011","Javier Rodriguez",34719
"2011","Dennis Kogod",106611
"2011","Michael Staffieri",0
"2011","Thomas Usilton",0
"2011","Joseph Mello",0
"2011","Total",618740
"2010","Kent Thiry",287398
"2010","Javier Rodriguez",49715
"2010","Dennis Kogod",16323
"2010","Michael Staffieri",0
"2010","Thomas Usilton",0
"2010","Joseph Mello",0
"2010","Total",353436
"2009","Kent Thiry",221784
"2009","Javier Rodriguez",27972
"2009","Dennis Kogod",0
"2009","Michael Staffieri",0
"2009","Thomas Usilton",23423
"2009","Joseph Mello",0
"2009","Total",273179
"2008","Kent Thiry",352770
"2008","Javier Rodriguez",26396
"2008","Dennis Kogod",10609
"2008","Michael Staffieri",0
"2008","Thomas Usilton",22995
"2008","Joseph Mello",0
"2008","Total",412770
"2007","Kent Thiry",259481
"2007","Javier Rodriguez",0
"2007","Dennis Kogod",0
"2007","Michael Staffieri",0
"2007","Thomas Usilton",3429
"2007","Joseph Mello",0
"2007","Total",262910
"2006","Kent Thiry",494492
"2006","Javier Rodriguez",0
"2006","Dennis Kogod",0
"2006","Michael Staffieri",0
"2006","Thomas Usilton",0
"2006","Joseph Mello",2689
"2006","Total",497181
"2005","Kent Thiry",345639
"2005","Javier Rodriguez",0
"2005","Dennis Kogod",0
"2005","Michael Staffieri",0
"2005","Thomas Usilton",0
"2005","Joseph Mello",19100
"2005","Total",364739
