"date","category","value"
"2014","Alan Mulally",396486
"2014","William Clay Ford Jr",297801
"2014","Mark Fields",260156
"2014","James Padilla",0
"2014","Total",954443
"2013","Alan Mulally",232153
"2013","William Clay Ford Jr",275639
"2013","Mark Fields",0
"2013","James Padilla",0
"2013","Total",507792
"2012","Alan Mulally",188937
"2012","William Clay Ford Jr",178257
"2012","Mark Fields",0
"2012","James Padilla",0
"2012","Total",367194
"2011","Alan Mulally",178571
"2011","William Clay Ford Jr",259666
"2011","Mark Fields",0
"2011","James Padilla",0
"2011","Total",438237
"2010","Alan Mulally",167796
"2010","William Clay Ford Jr",126337
"2010","Mark Fields",0
"2010","James Padilla",0
"2010","Total",294133
"2009","Alan Mulally",127699
"2009","William Clay Ford Jr",438419
"2009","Mark Fields",0
"2009","James Padilla",0
"2009","Total",566118
"2008","Alan Mulally",344109
"2008","William Clay Ford Jr",0
"2008","Mark Fields",0
"2008","James Padilla",0
"2008","Total",344109
"2007","Alan Mulally",752203
"2007","William Clay Ford Jr",0
"2007","Mark Fields",0
"2007","James Padilla",0
"2007","Total",752203
"2006","Alan Mulally",172974
"2006","William Clay Ford Jr",185232
"2006","Mark Fields",517560
"2006","James Padilla",0
"2006","Total",875766
"2005","Alan Mulally",0
"2005","William Clay Ford Jr",297201
"2005","Mark Fields",214479
"2005","James Padilla",204672
"2005","Total",716352
